@relation algoritmo_cadeia_imagem_fish_ball_car_training

@attribute 0 real
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute class {fish,ball,car}

@data
516,193,193,282,520,193,189,286,fish
758,526,819,779,796,516,801,807,fish
123,66,164,66,119,70,160,66,fish
2258,1105,247,1041,2249,1104,258,1031,fish
190,120,104,104,190,120,104,104,fish
839,672,489,524,837,676,483,526,fish
709,405,547,801,724,403,536,814,fish
104,97,104,98,102,98,104,97,fish
376,108,152,148,370,113,148,147,fish
154,58,35,56,156,58,33,58,fish
390,384,1397,352,399,389,1378,366,fish
270,324,539,381,273,315,554,375,fish
550,283,375,320,551,281,378,319,fish
40,148,588,184,53,145,581,194,fish
202,153,26,123,198,155,26,121,fish
378,290,249,170,393,278,258,173,fish
95,120,134,114,89,128,124,116,fish
330,253,63,86,328,258,55,89,fish
48,68,43,22,49,69,40,24,fish
429,218,37,90,437,214,37,94,fish
274,484,679,334,275,488,670,339,fish
102,52,54,65,94,54,58,59,fish
442,21,6,21,438,23,6,19,fish
339,286,34,33,335,291,28,34,fish
979,448,229,595,925,459,261,552,fish
234,52,3,69,232,54,1,69,fish
435,89,124,93,364,182,9,115,fish
249,29,8,30,250,28,9,30,fish
356,227,19,89,367,222,18,95,fish
258,45,25,81,258,45,25,81,fish
386,257,291,268,379,259,294,263,fish
111,137,275,160,113,138,271,163,fish
186,133,184,134,186,133,184,134,ball
567,226,65,71,569,224,67,71,ball
430,82,252,409,449,77,243,423,ball
262,251,390,269,262,252,388,270,ball
262,292,421,313,253,298,418,310,ball
186,131,187,129,187,129,190,128,ball
139,145,216,136,136,147,215,135,ball
469,174,259,142,465,179,253,143,ball
922,329,411,318,923,329,410,319,ball
238,244,305,176,233,248,302,175,ball
148,127,154,131,151,127,151,134,ball
355,3,202,548,357,3,200,550,ball
114,72,145,76,106,76,145,72,ball
304,79,291,73,303,79,292,72,ball
392,258,322,252,340,284,322,226,ball
138,127,48,29,140,124,52,28,ball
153,107,152,107,154,106,153,107,ball
34,85,144,32,32,88,140,33,ball
395,345,520,329,395,345,520,329,ball
737,503,679,600,739,501,681,600,ball
161,108,203,135,152,109,210,127,ball
120,90,113,91,124,85,119,90,ball
140,97,138,98,138,97,140,96,ball
281,200,191,193,282,200,190,194,ball
442,332,693,685,441,335,688,687,ball
823,632,428,324,822,633,427,324,ball
257,181,258,181,257,181,258,181,ball
1283,790,641,452,1284,789,642,452,ball
118,63,37,28,113,66,36,26,ball
336,154,216,154,338,155,212,157,ball
233,161,231,161,230,162,232,159,ball
212,140,172,148,212,140,172,148,ball
682,340,401,242,685,341,396,246,car
656,216,239,266,654,215,243,263,car
913,126,66,126,923,119,70,129,car
882,211,163,173,890,209,159,179,car
736,162,92,195,724,168,92,189,car
955,283,188,148,964,273,199,147,car
1231,552,152,227,1212,568,139,224,car
1106,291,136,155,1100,296,132,154,car
578,177,140,119,578,176,142,118,car
461,213,55,130,461,212,57,129,car
1022,683,463,271,1026,679,467,271,car
1905,234,567,403,1888,246,560,398,car
523,88,211,56,525,84,217,54,car
1411,564,755,456,1424,567,736,472,car
1619,511,607,328,1633,499,617,330,car
997,197,174,107,994,196,179,103,car
569,129,231,83,577,129,223,91,car
484,307,663,244,480,311,659,244,car
981,188,387,214,984,192,376,221,car
971,165,70,227,976,163,69,230,car
537,112,63,100,539,112,61,102,car
362,25,39,68,356,33,29,70,car
498,208,1567,76,508,209,1555,87,car
381,84,95,113,383,81,99,112,car
1024,477,371,190,1015,484,366,188,car
416,133,81,37,414,134,81,36,car
1115,210,160,247,1121,206,162,249,car
508,202,434,167,504,219,404,180,car
618,118,187,137,611,122,186,134,car
855,714,595,537,873,684,637,525,car
2714,1119,1042,351,2715,1120,1039,353,car
398,285,188,132,387,287,195,123,car

