0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
0,0,91,258,0,0,53,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,5390,0,0,60,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1242,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15121,ball,
3428,3868,559,0,6,629,1208,8962,0,0,0,55,0,0,0,0,6,71,0,0,4,1488,1560,19353,0,14,352,16145,0,0,0,0,0,0,0,0,0,1,0,0,0,2,548,6940,0,0,32,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70261,ball,
7414,407,3,0,23,298,187,4,0,0,0,0,0,0,0,0,1437,2,0,0,1305,9795,921,0,0,2,526,27,0,0,0,0,0,0,0,0,0,1152,1,0,0,1068,6497,598,0,0,2,458,0,0,0,0,0,0,0,0,0,0,316,4,0,0,211,6347,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,6,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30617,ball,
239,0,0,0,13,88,0,0,0,178,868,0,0,4,1867,829,831,0,0,0,4620,402,0,0,94,580,716,0,0,63,665,99,2,0,0,0,8667,516,0,0,5554,1215,1189,8,0,20,112,259,0,0,0,0,813,0,0,0,11623,10716,966,148,43,8094,5840,3624,0,0,0,0,0,0,0,0,0,1,72,0,0,0,714,415,0,0,0,0,0,8,0,0,0,0,130,0,0,0,0,2,0,0,0,0,84,9,0,0,8,12,4195,0,0,0,1,17,0,0,0,0,0,0,0,0,6730,655,441,20,0,30,0,58021,ball,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6237,5899,0,0,9380,26155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,27725,0,0,332,17484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7136,0,0,0,4585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12119,0,0,0,33460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,0,0,0,55122,ball,
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,329,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,105,51,0,0,321,6099,0,0,0,1978,0,0,0,0,0,0,0,0,0,0,0,7479,0,0,0,13674,9652,0,0,0,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4726,0,0,0,6315,6149,0,0,0,21130,ball,
0,1,0,0,8,27,0,0,0,0,0,0,0,0,0,0,295,1,0,0,171,498,25,0,0,9,10,0,0,0,0,0,1042,0,0,0,1809,233,17,0,0,95,651,0,0,0,2,2,0,0,0,0,1108,485,0,0,3,349,236,0,0,0,178,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8353,ball,
4,1809,11693,1222,0,99,3114,906,0,0,0,0,0,0,0,0,0,5,3860,0,0,401,18579,8560,0,65,601,473,0,0,0,0,0,0,0,0,0,20,163,2613,0,73,2778,8509,0,0,50,342,0,0,0,0,0,0,0,0,0,0,9,2941,0,0,90,4851,0,0,5060,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,34,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66521,ball,
23462,123,0,0,9,1912,34,0,0,0,67,30,0,0,0,780,27,5,0,0,1,14489,11,0,0,1,112,31,0,0,0,1298,0,0,0,0,0,0,1,0,0,0,1470,3,0,0,1,210,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2256,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39525,ball,
2315,21,0,0,1959,1974,17,0,0,84,85,0,0,0,0,0,273,2,0,0,1790,2895,24,0,0,955,6548,9,0,0,6892,1258,0,0,0,0,0,49,0,0,0,420,5779,22,0,0,10632,6003,0,0,0,0,0,0,0,0,0,0,61,0,0,0,146,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,772,0,0,0,7549,10558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33083,ball,
