0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
6351,16,9,8,143,22,7,7,0,0,0,7,0,0,0,0,22,5,6,5,122,5755,53,27,0,51,8,92,0,0,0,0,0,0,0,0,0,27,4,17,0,161,5836,103,0,0,147,39,0,0,0,0,0,0,0,0,0,0,8,7,0,0,33,6784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25882,car,
10781,4769,2720,140,1678,16189,3949,95,0,884,7161,2033,0,0,1,828,883,739,1790,510,792,6297,2630,1284,0,69,3575,2174,0,0,6,824,0,0,0,0,9,1603,672,897,0,1591,9245,3029,0,0,96,944,0,0,0,0,0,0,0,0,0,94,5259,1960,0,0,2248,5549,33952,988,4354,3,75,23417,393,1,0,5,3272,1042,0,0,0,229,36,30,2213,439,125,2706,388,157,0,0,1280,696,0,0,0,276,0,0,0,0,0,517,17,347,0,442,13524,676,0,0,5,311,0,0,0,0,0,0,0,0,0,6,5711,579,0,0,777,7008,car,
9371,6979,5707,4585,22,3527,1483,328,0,0,753,4,0,0,0,0,600,116,1726,1899,1480,8002,7140,4760,0,187,30107,5304,0,0,0,5,0,0,0,0,0,809,2128,560,0,1415,51343,41104,0,0,250,15200,0,0,0,0,0,0,0,0,0,7,982,205,0,0,445,6270,6059,432,5076,5006,0,39,576,38,0,0,233,0,0,0,0,0,881,0,1411,2529,4468,1728,2427,8473,0,104,11513,6172,0,0,0,0,0,0,0,0,0,868,1505,543,0,2595,8043,9140,0,0,428,13403,0,0,0,0,0,0,0,0,0,0,498,0,0,0,82,120533,car,
10718,69,0,0,1331,981,0,0,0,0,0,0,0,0,0,0,43,6,0,0,15,14393,41,0,0,440,259,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,8023,13,0,0,138,115,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41603,car,
10375,43,180,115,44,91,32,9,0,0,0,0,0,0,0,0,5693,88,2,7,532,8885,105,112,0,99,60,14,0,0,0,0,139,2,0,0,110,3102,101,2,0,1366,10003,154,0,0,25,22,0,0,0,0,0,1,0,0,0,1,2568,58,0,0,164,4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49110,car,
6972,121,17,3,19,197,56,36,0,0,0,5,0,0,0,0,26,14,0,0,9,8127,32,3,0,76,501,6,0,0,0,0,0,0,0,0,0,7,4,0,0,0,9780,17,0,0,590,2320,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,8660,7135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28427,car,
7446,68,2,7,18,69,13,40,0,0,0,2,0,0,0,0,5323,11,0,0,5022,8553,158,18,0,45,127,27,0,0,0,0,0,0,0,0,1840,2254,34,1,0,3070,7562,110,0,0,17,83,0,0,0,0,0,0,0,0,1,2789,2823,5,0,0,4210,6858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,88,0,0,0,569,53715,car,
7621,7029,8100,32,196,37,1362,27,0,0,0,0,0,0,0,0,57,12,2,0,495,7811,5869,3047,0,49,34,177,0,0,0,0,0,0,0,0,9,25,10,1,0,166,6033,2173,0,0,180,27,0,0,0,0,0,0,0,0,0,8,13,10,0,0,240,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55482,car,
8924,11,0,8,4,5,0,0,0,0,0,0,0,0,0,0,53,8,1,3,57,9744,85,20,0,3,31,50,0,0,0,0,0,0,0,0,0,6,1,11,0,43,5880,53,0,0,67,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,411,3863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29350,car,
16684,17610,0,0,452,14895,1072,0,0,0,11,2,0,0,0,0,614,32,0,0,1308,15653,6182,0,0,349,5456,165,0,0,0,0,0,0,0,0,0,1005,0,0,0,2473,14336,3719,0,0,442,2326,0,0,0,0,0,0,0,0,0,5,4785,6,0,0,6314,10059,68310,15957,0,0,0,33676,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,808,0,0,0,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5626,car,
