0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
4037,1585,3822,2254,159,690,7767,4078,0,4,501,424,0,0,0,2,934,544,3452,2886,270,1293,9138,6812,0,8,1327,710,0,0,0,4,317,415,963,649,202,356,3077,3678,6,28,2273,2268,0,0,0,16,100,888,1383,283,131,710,481,920,43,243,131,1055,0,0,0,141,73167,0,2,259,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish,
8054,3450,0,0,158,7001,910,0,0,1,91,3,0,0,0,0,58,86,0,0,42,11993,3135,1,0,513,7306,591,0,0,0,31,0,0,0,0,0,175,185,0,0,175,12325,1910,0,0,925,4013,0,0,0,0,0,0,0,0,0,0,156,261,0,0,191,7901,5223,16,0,0,0,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,3,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65723,fish,
3076,3858,0,0,421,3014,35,0,14,87,324,522,0,0,48,1238,136,419,0,0,118,26348,12490,0,0,350,15531,80,0,0,122,1477,0,0,0,0,0,70,26,0,634,225,26123,5524,0,0,352,8117,0,0,0,0,0,0,0,0,152,43,52,7,2,167,506,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120481,fish,
8739,1780,0,0,1892,14095,3903,0,0,52,6069,977,0,0,0,324,3845,0,0,0,7483,16418,1257,0,0,2188,10030,2278,0,0,26,4315,0,0,0,0,37,3580,0,0,0,3186,17548,496,0,0,1140,8982,0,0,0,0,0,0,0,0,0,0,243,0,0,0,230,17970,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,870,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137798,fish,
2009,75,0,119,403,389,318,925,0,32,300,2026,0,0,14,1523,1346,4,0,0,1414,787,275,52,87,449,683,1010,0,0,135,1387,105,0,0,0,1559,244,25,4,1261,1686,1024,411,0,4,707,1215,0,0,0,0,7,0,0,0,1011,2205,581,15,0,1249,2745,1251,22967,0,0,0,24,10,254,13,0,0,78,115,0,0,0,0,1347,0,0,0,1193,3,0,0,66,69,7,5,0,0,0,1,195,0,0,0,4537,0,0,0,130,89,3,0,0,0,3,1,0,0,0,0,0,0,0,0,216,620,0,0,0,27,778,320,fish,
4085,14,0,0,288,93,0,0,0,0,0,0,0,0,0,0,2403,2,0,0,5312,6348,165,0,0,614,798,0,0,0,0,0,0,0,0,0,188,2780,136,0,11,3240,11440,397,0,0,292,375,0,0,0,0,0,0,0,0,0,0,2450,351,0,0,1510,7958,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,527,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,0,30,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49366,fish,
4866,6108,356,0,26,5390,9513,1,0,0,176,0,0,0,0,0,1984,17,0,0,83,2560,10599,173,0,18,7420,2968,0,0,0,35,0,0,0,0,0,52,61,0,0,29,4079,4355,0,0,36,1893,0,0,0,0,0,0,0,0,0,0,53,24,0,0,33,1601,35429,1459,0,0,0,48,814,0,0,0,10,0,0,0,0,0,25499,0,0,0,0,9,174,1,0,0,268,128,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55,105,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,fish,
29,12,18,1726,0,13,189,4124,0,0,181,4030,0,0,0,876,0,0,0,0,0,1,15,175,0,0,246,2010,0,0,0,2049,0,0,0,0,0,0,0,0,0,0,1,213,0,0,0,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19867,fish,
756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5304,0,0,0,8664,1,0,0,0,0,0,0,0,0,0,0,785,0,0,0,12472,60,0,0,4748,5093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,3636,10,0,297,2830,2855,83,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40938,0,0,0,176,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,270,0,0,275,111,1822,0,fish,
9533,2,0,0,187,2,0,0,0,0,0,0,0,0,0,0,8581,4,0,0,4002,1374,2,0,78,433,6,0,0,0,0,0,0,0,0,0,508,112,0,0,620,2165,1057,2,0,1,191,77,0,0,0,0,0,0,0,0,0,20,46,2,0,3,471,779,12166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18016,0,0,0,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fish,
