0,1,2,3,4,5,6,7,class,
186,133,184,134,186,133,184,134,ball,
567,226,65,71,569,224,67,71,ball,
430,82,252,409,449,77,243,423,ball,
262,251,390,269,262,252,388,270,ball,
262,292,421,313,253,298,418,310,ball,
186,131,187,129,187,129,190,128,ball,
139,145,216,136,136,147,215,135,ball,
469,174,259,142,465,179,253,143,ball,
922,329,411,318,923,329,410,319,ball,
238,244,305,176,233,248,302,175,ball,
148,127,154,131,151,127,151,134,ball,
355,3,202,548,357,3,200,550,ball,
114,72,145,76,106,76,145,72,ball,
304,79,291,73,303,79,292,72,ball,
392,258,322,252,340,284,322,226,ball,
138,127,48,29,140,124,52,28,ball,
153,107,152,107,154,106,153,107,ball,
34,85,144,32,32,88,140,33,ball,
395,345,520,329,395,345,520,329,ball,
737,503,679,600,739,501,681,600,ball,
161,108,203,135,152,109,210,127,ball,
120,90,113,91,124,85,119,90,ball,
140,97,138,98,138,97,140,96,ball,
281,200,191,193,282,200,190,194,ball,
442,332,693,685,441,335,688,687,ball,
823,632,428,324,822,633,427,324,ball,
257,181,258,181,257,181,258,181,ball,
1283,790,641,452,1284,789,642,452,ball,
118,63,37,28,113,66,36,26,ball,
336,154,216,154,338,155,212,157,ball,
233,161,231,161,230,162,232,159,ball,
212,140,172,148,212,140,172,148,ball,
