0,1,2,3,4,5,6,7,class,
682,340,401,242,685,341,396,246,car,
656,216,239,266,654,215,243,263,car,
913,126,66,126,923,119,70,129,car,
882,211,163,173,890,209,159,179,car,
736,162,92,195,724,168,92,189,car,
955,283,188,148,964,273,199,147,car,
1231,552,152,227,1212,568,139,224,car,
1106,291,136,155,1100,296,132,154,car,
578,177,140,119,578,176,142,118,car,
461,213,55,130,461,212,57,129,car,
1022,683,463,271,1026,679,467,271,car,
1905,234,567,403,1888,246,560,398,car,
523,88,211,56,525,84,217,54,car,
1411,564,755,456,1424,567,736,472,car,
1619,511,607,328,1633,499,617,330,car,
997,197,174,107,994,196,179,103,car,
569,129,231,83,577,129,223,91,car,
484,307,663,244,480,311,659,244,car,
981,188,387,214,984,192,376,221,car,
971,165,70,227,976,163,69,230,car,
537,112,63,100,539,112,61,102,car,
362,25,39,68,356,33,29,70,car,
498,208,1567,76,508,209,1555,87,car,
381,84,95,113,383,81,99,112,car,
1024,477,371,190,1015,484,366,188,car,
416,133,81,37,414,134,81,36,car,
1115,210,160,247,1121,206,162,249,car,
508,202,434,167,504,219,404,180,car,
618,118,187,137,611,122,186,134,car,
855,714,595,537,873,684,637,525,car,
2714,1119,1042,351,2715,1120,1039,353,car,
398,285,188,132,387,287,195,123,car,
