0,1,2,3,4,5,6,7,class,
516,193,193,282,520,193,189,286,fish,
758,526,819,779,796,516,801,807,fish,
123,66,164,66,119,70,160,66,fish,
2258,1105,247,1041,2249,1104,258,1031,fish,
190,120,104,104,190,120,104,104,fish,
839,672,489,524,837,676,483,526,fish,
709,405,547,801,724,403,536,814,fish,
104,97,104,98,102,98,104,97,fish,
376,108,152,148,370,113,148,147,fish,
154,58,35,56,156,58,33,58,fish,
390,384,1397,352,399,389,1378,366,fish,
270,324,539,381,273,315,554,375,fish,
550,283,375,320,551,281,378,319,fish,
40,148,588,184,53,145,581,194,fish,
202,153,26,123,198,155,26,121,fish,
378,290,249,170,393,278,258,173,fish,
95,120,134,114,89,128,124,116,fish,
330,253,63,86,328,258,55,89,fish,
48,68,43,22,49,69,40,24,fish,
429,218,37,90,437,214,37,94,fish,
274,484,679,334,275,488,670,339,fish,
102,52,54,65,94,54,58,59,fish,
442,21,6,21,438,23,6,19,fish,
339,286,34,33,335,291,28,34,fish,
979,448,229,595,925,459,261,552,fish,
234,52,3,69,232,54,1,69,fish,
435,89,124,93,364,182,9,115,fish,
249,29,8,30,250,28,9,30,fish,
356,227,19,89,367,222,18,95,fish,
258,45,25,81,258,45,25,81,fish,
386,257,291,268,379,259,294,263,fish,
111,137,275,160,113,138,271,163,fish,
